ID1,AISP,DP,units,TOTAL_ApreensaodeAdolescenteAAAPAI2015,TOTAL_ApreensaodeAdolescenteAAAPAI2016,TOTAL_ApreensaodeAdolescenteGAAI2015,TOTAL_ApreensaodeAdolescenteGAAI2016,TOTAL_ApreensaodeMenor2013,TOTAL_ApreensaodeMenor2014
286,AISP 5,1 DP,001a. PraÃ§a MauÃ¡,108,32,107,22,0,0
275,AISP 5,4 DP,004a. PraÃ§a da RepÃºblica,165,17,153,9,3,7
253,AISP 5,5 DP,005a. Mem de SÃ¡ ,243,75,219,44,223,220
271,AISP 4,6 DP,006a. Cidade Nova,77,12,78,8,22,5
273,AISP 5,7 DP,007a. Santa Tereza,21,1,18,1,0,0
282,AISP 2,9 DP,009a. Catete,116,26,105,8,11,41
270,AISP 2,10 DP,010a. Botafogo,97,14,84,6,11,100
263,AISP 23,11 DP,011a. Rocinha,12,0,13,0,0,3
269,AISP 19,12 DP,012a. Copacabana,317,83,299,67,365,230
268,AISP 19,13 DP,013a. Ipanema,125,46,113,36,86,35
274,AISP 23,14 DP,014a. Leblon,251,67,230,56,286,229
264,AISP 23,15 DP,015a. GÃ¡vea,50,6,44,3,2,12
267,AISP 31,16 DP,016a. Barra da Tijuca,176,65,175,40,115,111
272,AISP 4,17 DP,017a. SÃ£o CristÃ_vÃ£o,159,39,166,33,129,86
243,AISP 4,18 DP,018a. PraÃ§a da Bandeira,77,12,74,10,4,3
245,AISP 6,19 DP,019a. Tijuca,143,31,137,25,59,67
244,AISP 6,20 DP,020a. GrajaÃº,81,13,75,8,1,6
149,AISP 22,21 DP,021a. Bonsucesso,186,23,171,18,149,185
266,AISP 16,22 DP,022a. Penha,109,14,100,8,286,150
246,AISP 3,23 DP,023a. Meier,80,7,72,5,0,2
247,AISP 3,24 DP,024a. Piedade,35,3,27,3,46,4
248,AISP 3,25 DP,025a. Engenho Novo,256,9,236,7,123,267
250,AISP 3,26 DP,026a. Todos os Santos,93,28,88,19,0,7
252,AISP 41,27 DP,027a. Vicente de Carvalho,90,21,71,13,3,10
242,AISP 9,28 DP,028a. Campinho,21,14,15,6,45,4
239,AISP 9,29 DP,029a. Madureira,106,17,87,12,72,149
240,AISP 9,30 DP,030a. Marechal Hermes,47,8,39,7,0,5
259,AISP 41,31 DP,031a. Ricardo Albuquerque,68,15,65,12,2,2
236,AISP 18,32 DP,032a. Taquara,213,41,180,23,112,204
237,AISP 14,33 DP,033a. Realengo ,122,14,100,12,4,20
238,AISP 14,34 DP,034a. Bangu ,257,48,241,37,280,226
147,AISP 40,35 DP,035a. Campo Grande,72,12,68,5,48,47
261,AISP 27,36 DP,036a. Santa Cruz,26,7,30,6,6,56
289,AISP 17,37 DP,037a. Ilha do Governador,47,12,37,6,91,50
251,AISP 16,38 DP,038a. Braz de Pina,126,22,99,18,71,6
258,AISP 41,39 DP,039a. Pavuna,168,35,148,24,32,156
241,AISP 9,40 DP,040a. HonÃ_rio Gurgel,76,14,66,11,2,0
235,AISP 18,41 DP,041a. Tanque,49,11,44,5,40,2
234,AISP 31,42 DP,042a. Recreio,56,13,44,7,10,6
260,AISP 27,43 DP,043a. Pedra de Guaratiba ,10,6,8,2,5,0
249,AISP 3,44 DP,044a. InhaÃºma ,36,8,32,4,1,8
265,AISP 16,45 DP,045a. AlemÃ£o,27,3,29,2,0,5