ID1,AISP,DP,units,TakenDP_2015,TakenDP_2016,TakenSocial_2015,TakenSocial_2016,Taken_2013,Taken_2014,TakenTotal
147.0,AISP 40,35 DP,035a. Campo Grande,72.0,12.0,68.0,5.0,48.0,47.0,157.0
149.0,AISP 22,21 DP,021a. Bonsucesso,186.0,23.0,171.0,18.0,149.0,185.0,398.0
234.0,AISP 31,42 DP,042a. Recreio,56.0,13.0,44.0,7.0,10.0,6.0,120.0
235,AISP 18,41 DP,Tanque,49,11,44,5,40,2,189
236,AISP 18,32 DP,Taquara,213,41,180,23,112,204,681
237,AISP 14,33 DP,Realengo ,122,14,100,12,4,20,256
238,AISP 14,34 DP,Bangu ,257,48,241,37,280,226,1143
239,AISP 9,29 DP,Madureira,106,17,87,12,72,149,366
240,AISP 9,30 DP,Marechal Hermes,47,8,39,7,0,5,101
241,AISP 9,40 DP,Honório Gurgel,76,14,66,11,2,0,171
242,AISP 9,28 DP,Campinho,21,14,15,6,45,4,146
243,AISP 4,18 DP,Praça da Bandeira,77,12,74,10,4,3,181
244,AISP 6,20 DP,Grajaú,81,13,75,8,1,6,179
245,AISP 6,19 DP,Tijuca,143,31,137,25,59,67,454
246,AISP 3,23 DP,Meier,80,7,72,5,0,2,164
247,AISP 3,24 DP,Piedade,35,3,27,3,46,4,160
248,AISP 3,25 DP,Engenho Novo,256,9,236,7,123,267,754
249,AISP 3,44 DP,Inhaúma,36,8,32,4,1,8,82
250,AISP 3,26 DP,Todos os Santos,93,28,88,19,0,7,228
251,AISP 16,38 DP,Braz de Pina,126,22,99,18,71,6,407
252,AISP 41,27 DP,Vicente de Carvalho,90,21,71,13,3,10,201
253,AISP 5,5 DP,Mem de Sá,243,75,219,44,223,220,1027
258,AISP 41,39 DP,Pavuna,168,35,148,24,32,156,439
259,AISP 41,31 DP,Ricardo Albuquerque,68,15,65,12,2,2,164
260,AISP 27,43 DP,Pedra de Guaratiba ,10,6,8,2,5,0,36
261,AISP 27,36 DP,Santa Cruz,26,7,30,6,6,56,81
263,AISP 23,11 DP,Rocinha,12,0,13,0,0,3,25
264,AISP 23,15 DP,Gávea,50,6,44,3,2,12,107
265,AISP 16,45 DP,Alemão,27,3,29,2,0,5,61
266,AISP 16,22 DP,Penha,109,14,100,8,286,150,803
267,AISP 31,16 DP,Barra da Tijuca,176,65,175,40,115,111,686
268,AISP 19,13 DP,Ipanema,125,46,113,36,86,35,492
269,AISP 19,12 DP,Copacabana,317,83,299,67,365,230,766.0
270,AISP 2,10 DP,Botafogo,97,14,84,6,11,100,223
271,AISP 4,6 DP,Cidade Nova,77,12,78,8,22,5,219
272,AISP 4,17 DP,São Cristóvão,159,39,166,33,129,86,655
273,AISP 5,7 DP,Santa Tereza,21,1,18,1,0,0,41
274,AISP 23,14 DP,Leblon,251,67,230,56,286,229,1176
275,AISP 5,4 DP,Praça da República,165,17,153,9,3,7,350
282,AISP 2,9 DP,Catete,116,26,105,8,11,41,277
286,AISP 5,1 DP,Praça Mauá,108,32,107,22,0,0,269
289,AISP 17,37 DP,Ilha do Governador,47,12,37,6,91,50,284
TOTAL,TOTAL,TOTAL,All Ciudad de Rio,4594,944,4187,648,2745,2726,15863